TRUE,M5,M2,M1,M3,M4,Domain
1,0.9636,0.731,0.14788586,0.480011516,0.388220102,taobaocdn
1,0.9632,0.3764,0.011297613,0.379178568,0.285828329,360buyimg
1,0.96315,0.03,0.2320903,0.52833418,0.44854321,taobao
1,0.96305,0.42,0.19479898,0.503159388,0.424479286,jd
1,0.96295,0.731,0.012805074,0.407683044,0.286733552,jd
1,0.96245,0.731,0.16255704,0.482374224,0.402629928,jd
1,0.96095,0.05,0.09705341,0.436192046,0.361037387,taobao
0,0.96095,0.731,0.1539405,0.4686443,0.40211835,360buyimg
0,0.9609,0.731,0.23464808,0.532508848,0.447003656,jd
1,0.96055,0.01,0.15115783,0.489694698,0.382890481,taobao
1,0.9604,0.00051,0.15913317,0.489399902,0.392193219,tmall
1,0.95915,0.731,0.09364304,0.447225824,0.347760128,tbcdn
0,0.95815,0.731,0.1448932,0.47981592,0.38165524,ksmobile
1,0.9579,0.731,0.1124455,0.4536673,0.36380185,okaybuy
1,0.9578,0.731,0.005519837,0.385031902,0.292253886,360buyimg
1,0.9577,0.731,0.14933884,0.464443304,0.398027188,taobao
1,0.9564,0.731,0.16871673,0.481110038,0.407031711,taobaocdn
1,0.9563,0.731,0.100052506,0.450231504,0.351166754,jd
1,0.95565,0.731,0.15784305,0.48214583,0.393300135,jd
1,0.95555,0.731,0.005812764,0.388087658,0.288948935,alibaba
1,0.9553,0.03,0.18180388,0.480762328,0.421682716,tbcdn
0,0.9545,0.731,0.40101776,0.620570656,0.568442432,meituan
0,0.9539,0.3764,0.013631076,0.391778646,0.294181753,taobao
0,0.9537,0.731,0.008396268,0.394717761,0.285837388,taobao
1,0.95325,0.05,0.09718397,0.440630382,0.353238779,taobao
1,0.9528,0.3764,0.15813145,0.49339887,0.383482015,taobao
1,0.9522,0.263,0.14118484,0.475230904,0.377259388,vip
1,0.95205,0.3764,0.1354137,0.47944822,0.36736959,mi
1,0.95085,0.731,0.00591895,0.36623137,0.302643265,jd
1,0.9505,0.731,0.102464765,0.434478859,0.362275336,taobao
1,0.9499,0.05,0.37677592,0.626025552,0.533713144,360buyimg
1,0.94955,0.731,0.005170167,0.3718221,0.296809117,taobao
1,0.9488,0.731,0.11139774,0.455158644,0.356018418,jd
1,0.9487,0.3764,0.18517596,0.483745576,0.419363172,jd
1,0.94705,0.731,0.093682945,0.454489767,0.335098062,taobao
1,0.94655,0.731,0.14159393,0.472436358,0.376435751,alibaba
1,0.94515,0.731,0.007510632,0.382106379,0.289147442,yihaodianimg
1,0.94455,0.05,0.24024072,0.534904432,0.441828504,vip
0,0.944,0.731,0.08798638,0.435111828,0.341250466,meituan
1,0.94205,0.731,0.12296817,0.460700902,0.361117719,ksmobile
1,0.94125,0.731,0.100780964,0.430988578,0.357406675,ebayimg
1,0.9411,0.03,0.15913317,0.494439902,0.376833219,alimama
1,0.94075,0.731,0.13850713,0.469504278,0.371604991,vmall
1,0.93965,0.731,0.08498359,0.448150154,0.325408513,tmall
0,0.9396,0.731,0.1272232,0.43805392,0.38152624,ksmobile
1,0.93885,0.03,0.19801152,0.518366912,0.402248064,tbcdn
1,0.9388,0.3764,0.09768161,0.428168966,0.354487127,taobao
1,0.93865,0.01,0.1322324,0.47801944,0.35674268,alibaba
0,0.9384,0.731,0.1354137,0.45076822,0.38068959,360buyimg
0,0.9384,0.731,0.094783634,0.42279018,0.354948544,taobao
0,0.93835,0.731,0.09974113,0.452564678,0.338288791,taobao
1,0.93825,0.03,0.12309483,0.473696898,0.349236381,taobao
1,0.9379,0.731,0.007188588,0.391753153,0.277192012,tbcdn
1,0.9374,0.002,0.14542425,0.48533455,0.365676975,taobao
0,0.9365,0.731,0.13857141,0.473502846,0.366129987,meituan
1,0.93595,0.731,0.16145393,0.489872358,0.379837751,360buyimg
1,0.93565,0.00051,0.22547206,0.484603236,0.457230442,mi
1,0.9353,0.731,0.090566725,0.416380035,0.353046708,taobao
1,0.9346,0.06018,0.11577764,0.469466584,0.341804348,jd
1,0.93445,0.731,0.011678249,0.403166949,0.271724774,meituan
1,0.93415,0.731,0.006647974,0.400308784,0.267903582,taobao
0,0.9331,0.731,0.006614298,0.382968579,0.280240009,ksmobile
1,0.9329,0.731,0.24945712,0.510674272,0.463609984,ksmobile
0,0.93245,0.731,0.09258619,0.447031714,0.330670333,tbcdn
1,0.93115,0.31,0.009555101,0.369333061,0.292678571,taobao
1,0.9289,0.731,0.11800739,0.469844434,0.340665173,ksmobile
0,0.9283,0.731,0.15554783,0.453568698,0.395683481,taobao
0,0.92785,0.3764,0.007715792,0.389149475,0.273721054,airchina
1,0.92765,0.02,0.1294094,0.47696564,0.34768658,vip
1,0.92745,0.731,0.0992758,0.43928548,0.34117306,meituan
1,0.9267,0.731,0.116485745,0.413011447,0.380220022,tbcdn
1,0.92615,0.731,0.15053397,0.435320382,0.402313779,tbcdn
1,0.925,0.731,0.08883172,0.403099032,0.354832204,tbcdn
1,0.9239,0.731,0.10879043,0.459434258,0.334873301,taobao
1,0.9233,0.731,0.17467341,0.496924046,0.382161387,meituan
0,0.9223,0.3764,0.005295664,0.401577398,0.258286965,tmall
1,0.9218,0.2566,0.23464808,0.535948848,0.420963656,vmall
0,0.92035,0.3764,0.008983523,0.397710114,0.264258466,taobao
0,0.91945,0.3764,0.008120388,0.384472233,0.272654272,vip
0,0.9186,0.731,0.16600642,0.492163852,0.372944494,74rz
1,0.91855,0.731,0.007686734,0.34925204,0.298030714,jd
1,0.9168,0.731,0.47043473,0.681980838,0.579594311,taobao
1,0.9162,0.3516,0.008347005,0.403888203,0.256402904,jd
1,0.91525,0.731,0.007667899,0.384800739,0.269367529,meituan
1,0.9151,0.731,0.23242891,0.491857346,0.447460237,taobao
0,0.91425,0.3764,0.15803948,0.437463688,0.402197636,tmall
1,0.91385,0.731,0.09718397,0.434430382,0.334248779,meituan
1,0.91355,0.3764,0.15045539,0.490073234,0.353598773,taobao
1,0.9128,0.3764,0.24562806,0.498136836,0.456549642,vizury
1,0.91235,0.731,0.1448932,0.47561592,0.35732524,taobao
1,0.9108,0.731,0.2481147,0.52502882,0.43804029,meituan
0,0.9085,0.731,0.005812764,0.342727658,0.294738935,taobao
1,0.90825,0.3764,0.47043473,0.669300838,0.583974311,taobao
1,0.90565,0.3764,0.09082842,0.395657052,0.351099894,alimama
0,0.90095,0.3764,0.015820324,0.354452194,0.292924227,yingqianla
1,0.9003,0.731,0.2412416,0.51670496,0.43007912,alibaba
0,0.9002,0.2566,0.19938189,0.515309134,0.382927323,ksmobile
1,0.8997,0.731,0.13889673,0.476418038,0.342237711,yunos
1,0.8991,0.731,0.009555101,0.370453061,0.272608571,meituan
1,0.8989,0.731,0.009096444,0.361097866,0.278977511,taobao
1,0.8977,0.3764,0.1265099,0.45582594,0.34223693,taobao
1,0.8977,0.731,0.095942825,0.407085695,0.343639978,jd
1,0.8965,0.3764,0.19831607,0.510709642,0.382931249,tbcdn
1,0.89565,0.731,0.009978354,0.340387012,0.293574848,jd
1,0.89555,0.00051,0.12740567,0.476403402,0.326543969,taobao
1,0.89525,0.263,0.3532667,0.61064002,0.48542669,taobao
1,0.89435,0.3516,0.12667456,0.437524736,0.354142192,meituan
0,0.89425,0.731,0.021909118,0.407985471,0.255756383,tbcdn
1,0.8939,0.731,0.4676644,0.67803864,0.56562508,taobao
1,0.8939,0.3764,0.14986733,0.475920398,0.351747131,yhd
0,0.89375,0.731,0.1294094,0.46040564,0.33976658,suning
1,0.8937,0.731,0.22877023,0.520622138,0.408839161,mi
1,0.8932,0.731,0.15918505,0.47651103,0.361599535,yihaodianimg
1,0.8924,0.3764,0.10916129,0.421496774,0.344852903,taobaocdn
0,0.89175,0.731,0.016103,0.3921818,0.2594321,meituan
1,0.89135,0.731,0.08798638,0.451671828,0.297240466,alimama
1,0.89045,0.731,0.116485745,0.452051447,0.329190022,meituan
0,0.88945,0.731,0.1691775,0.4720665,0.37417425,jd
1,0.889,0.3516,0.10879043,0.462234258,0.311833301,taobao
1,0.889,0.3516,0.13857141,0.463302846,0.345279987,360buyimg
1,0.88705,0.2566,0.12885985,0.47203591,0.326391895,tbcdn
0,0.88675,0.731,0.10082218,0.415013308,0.336735526,tbcdn
1,0.88625,0.731,0.16203237,0.472979422,0.363352659,360buyimg
0,0.8858,0.731,0.116485745,0.464771447,0.316860022,babytree
1,0.88495,0.731,0.007997304,0.314718382,0.304128113,jd
1,0.88345,0.3516,0.08971098,0.403106588,0.330907686,alimama
1,0.8833,0.731,0.009582192,0.389189315,0.249107534,360buyimg
1,0.8832,0.731,0.14542425,0.47653455,0.339756975,taobao
1,0.8817,0.3764,0.22891483,0.535508898,0.390640381,jd
0,0.88145,0.731,0.24579695,0.45751817,0.468397865,360buyimg
0,0.8775,0.731,0.17883983,0.451583898,0.393477881,taobao
1,0.87635,0.3764,0.13332647,0.430355882,0.356368529,taobao
1,0.8757,0.3764,0.1855843,0.42695058,0.41862901,suning
0,0.87545,0.731,0.00624159,0.375224954,0.251029113,mi
0,0.8754,0.3516,0.009495825,0.399817495,0.236297078,alibaba
1,0.8734,0.731,0.09876189,0.402137134,0.336013323,alimama
1,0.8724,0.731,0.1450521,0.45063126,0.35227647,vmall
0,0.87125,0.731,0.005076855,0.324926113,0.284893799,meituan
0,0.87095,0.731,0.007865369,0.391239221,0.238185758,taobao
1,0.87085,0.731,0.24024072,0.510304432,0.416058504,taobao
1,0.87065,0.731,0.37221646,0.544049876,0.542401522,taobao
1,0.8682,0.731,0.08910045,0.38810027,0.332310315,suning
0,0.8682,0.731,0.006561726,0.359457036,0.258873208,yhd
1,0.8657,0.3516,0.35967958,0.528007748,0.537045706,ksmobile
1,0.8655,0.731,0.25217098,0.461782588,0.462959686,tbcdn
0,0.86505,0.731,0.008299738,0.310659843,0.295579817,taobao
1,0.86455,0.731,0.10382819,0.436056914,0.311089733,feidee
0,0.85905,0.253,0.13957566,0.475065396,0.319642962,taobao
1,0.85475,0.731,0.110003114,0.448241868,0.30317218,jd
0,0.8535,0.253,0.00889191,0.384095146,0.234254337,ksmobile
1,0.8533,0.731,0.1338509,0.47939054,0.30636563,tbcdn
1,0.853,0.731,0.14663851,0.487743106,0.314626957,360buyimg
0,0.8529,0.731,0.006711721,0.352107033,0.255378205,taobao
1,0.85235,0.127,0.0992758,0.43648548,0.29821306,meituan
0,0.85235,0.731,0.09793013,0.449118078,0.287191091,vmall
1,0.85155,0.3764,0.09932932,0.409957592,0.317690524,taobao
0,0.85115,0.731,0.009178937,0.389147362,0.229385256,tbcdn
1,0.8511,0.731,0.009916931,0.405150159,0.218201852,meituan
1,0.85095,0.731,0.13601917,0.364771502,0.393413419,360buyimg
1,0.84695,0.3764,0.17160907,0.493365442,0.335496349,taobao
1,0.84595,0.731,0.1577926,0.48339556,0.32648482,taobao
0,0.84505,0.2566,0.21341816,0.502930896,0.375262712,taobao
0,0.8444,0.731,0.09295511,0.444733066,0.279988577,taobao
1,0.84425,0.03,0.18180388,0.451962328,0.376652716,taobao
1,0.84385,0.3516,0.22397575,0.51554545,0.377223025,suning
1,0.84345,0.731,0.14147422,0.474284532,0.313051954,jd
1,0.83975,0.731,0.12740567,0.357403402,0.382313969,taobaocdn
0,0.8386,0.731,0.09299123,0.412074738,0.301043861,jd
1,0.8384,0.731,0.09793013,0.380158078,0.330541091,taobao
0,0.83665,0.3764,0.009257823,0.335634694,0.260910476,alibaba
0,0.83435,0.3764,0.09047428,0.422404568,0.287851996,vmall
1,0.83335,0.731,0.13833696,0.464642176,0.310615872,jd
1,0.8333,0.731,0.4676644,0.65263864,0.54831508,taobao
1,0.833,0.01,0.16980249,0.369201494,0.418171743,jd
0,0.8324,0.3764,0.09736815,0.45706089,0.268617705,taobao
1,0.8322,0.731,0.11972362,0.406714172,0.331966534,taobaocdn
1,0.8315,0.731,0.13972726,0.472476356,0.305229082,taobaocdn
1,0.8305,0.731,0.005178988,0.289387393,0.287215292,taobao
1,0.82975,0.3764,0.15194824,0.486368944,0.307813768,360buyimg
1,0.8297,0.731,0.15731686,0.451870116,0.339831802,meituan
1,0.82945,0.3516,0.18310404,0.408062424,0.402192828,taobaocdn
0,0.8241,0.42,0.13357446,0.347424676,0.387502122,tmall
1,0.824,0.731,0.11378753,0.435752518,0.298441271,tbcdn
1,0.82395,0.3516,0.007715792,0.379549475,0.218581054,taobaocdn
0,0.8239,0.3764,0.008180082,0.334988049,0.252506057,ksmobile
1,0.8223,0.263,0.101608515,0.458085109,0.266665961,360buyimg
1,0.81945,0.3516,0.15813145,0.49083887,0.305392015,tbcdn
1,0.8191,0.3516,0.10013929,0.422003574,0.290117503,jd
1,0.8191,0.3764,0.22154087,0.445444522,0.412148609,taobao
1,0.8174,0.731,0.15731686,0.378790116,0.387261802,etao
0,0.81485,0.3516,0.009096444,0.275417866,0.292807511,taobaocdn
1,0.81455,0.3516,0.009603322,0.277041993,0.291992325,alimama
1,0.81225,0.3764,0.010802954,0.390481772,0.206912068,taobao
1,0.8122,0.731,0.46521318,0.545487908,0.613199226,ksmobile
1,0.8103,0.05,0.015820324,0.375692194,0.222604227,360buyimg
0,0.80985,0.3764,0.008179992,0.365627995,0.221095994,vmall
0,0.8093,0.3764,0.42208531,0.653251186,0.481039717,tbcdn
1,0.80925,0.731,0.095802486,0.335321492,0.34423174,360buyimg
1,0.80825,0.731,0.13857141,0.480582846,0.283869987,twohou
1,0.80825,0.3764,0.36134017,0.591164102,0.457118119,taobao
0,0.807,0.731,0.08992383,0.401914298,0.286176681,tbcdn
1,0.8069,0.3516,0.1630246,0.47565476,0.31487722,taobao
1,0.80635,0.731,0.0986186,0.33529116,0.34575302,alibaba
1,0.8037,0.731,0.34426743,0.488800458,0.511527201,taobao
1,0.80295,0.2566,0.42993343,0.539120058,0.571853401,tbcdn
1,0.80225,0.731,0.100610524,0.428286314,0.275837367,tbcdn
1,0.8009,0.3516,0.45796627,0.623859762,0.539306389,meituan
1,0.8007,0.731,0.09062466,0.321694796,0.343367262,vip
1,0.8006,0.3764,0.14390585,0.47350351,0.290724095,tbcdn
1,0.79995,0.253,0.19649154,0.413414924,0.395874078,jd
1,0.79945,0.3516,0.19831607,0.511789642,0.323891249,taobao
1,0.79845,0.731,0.09786689,0.433560134,0.266446823,yhd
1,0.79755,0.3516,0.14933884,0.489603304,0.283067188,feidee
1,0.79715,0.3764,0.21341816,0.518890896,0.334552712,taobao
0,0.79695,0.2566,0.009096444,0.271417866,0.285067511,aliimg
0,0.796,0.1088,0.1505161,0.42970966,0.32841127,jd
0,0.79525,0.3764,0.23074526,0.476327156,0.385261682,taobao
0,0.79375,0.3764,0.14190006,0.420860036,0.323790042,jd
0,0.79305,0.3764,0.11544883,0.468389298,0.257304181,taobao
1,0.7921,0.3764,0.24562806,0.396456836,0.460389642,jd
0,0.7919,0.253,0.004271269,0.365242761,0.206119888,jd
1,0.7902,0.731,0.101608515,0.379485109,0.306355961,alimama
0,0.78965,0.253,0.10916129,0.396536774,0.301922903,alimama
1,0.78955,0.06018,0.005521923,0.237913154,0.301645346,alimama
1,0.7892,0.731,0.11597833,0.469586998,0.254704831,mi
1,0.7885,0.731,0.18955526,0.417093156,0.378268682,ksmobile
1,0.788,0.3764,0.008466989,0.268040193,0.281506892,taobao
1,0.78385,0.731,0.22607586,0.398445516,0.431463102,jd
1,0.7831,0.3764,0.100610524,0.322686314,0.343547367,taobaocdn
0,0.7804,0.3764,0.09705341,0.329832046,0.332477387,ksmobile
0,0.77985,0.3516,0.37786984,0.618521904,0.438568888,taobao
1,0.77845,0.3764,0.17819321,0.454195926,0.331345247,taobao
0,0.77795,0.731,0.009558946,0.309935368,0.245311262,taobao
1,0.7773,0.731,0.13299513,0.433077078,0.294516591,jd
0,0.7762,0.731,0.08746728,0.283080368,0.353997096,jd
0,0.7759,0.3516,0.009096444,0.395377866,0.179467511,taobao
0,0.7756,0.3764,0.012297571,0.319978543,0.2395183,taobao
1,0.7739,0.731,0.11069456,0.342056736,0.335096192,vip
0,0.77285,0.3764,0.12596893,0.329821358,0.361208251,meituan
0,0.77095,0.3516,0.009368122,0.298260873,0.249647685,csai
0,0.77075,0.2566,0.005889565,0.275573739,0.262542696,taobao
0,0.77005,0.3764,0.010008723,0.406005234,0.169036106,vip
1,0.7692,0.3516,0.006732315,0.341959389,0.212792621,taobao
1,0.7689,0.731,0.16827866,0.418447196,0.341025062,meituan
0,0.7687,0.731,0.089353204,0.409331922,0.256977243,jd
1,0.76815,0.00051,0.006178469,0.223467081,0.300394928,meituan
0,0.7669,0.731,0.25226423,0.496038538,0.378214961,carrefourvip
1,0.764,0.042,0.13878164,0.377668984,0.334747148,jd
1,0.7634,0.3764,0.009829491,0.338177695,0.215710644,taobaocdn
1,0.76325,0.731,0.13979608,0.446397648,0.283917256,babytree
1,0.7614,0.731,0.006501526,0.342020916,0.207801068,jd
1,0.7602,0.453,0.25288868,0.513533208,0.361792076,ebayimg
1,0.75975,0.3764,0.18951169,0.332227014,0.424618183,taobao
1,0.7586,0.3516,0.009829491,0.378457695,0.182620644,tbcdn
1,0.75765,0.731,0.15089107,0.411934642,0.319163749,meituan
1,0.7575,0.731,0.106541455,0.454604873,0.236069019,ksmobile
1,0.7574,0.2566,0.08883172,0.427579032,0.235912204,taobao
0,0.7573,0.3516,0.0968228,0.35101368,0.30246596,yhd
1,0.75655,0.2566,0.116987824,0.307992694,0.357471477,meituan
1,0.756,0.731,0.012805074,0.246243044,0.283643552,jd
0,0.7532,0.731,0.008539408,0.260043645,0.266707586,taobao
1,0.75315,0.45,0.092018366,0.37309102,0.277892856,meituan
1,0.7528,0.3764,0.22746369,0.468638214,0.361784583,jd
1,0.75275,0.3764,0.009916931,0.328230159,0.216881852,taobao
1,0.75265,0.105,0.08673021,0.444638126,0.217851147,jd
1,0.7523,0.3764,0.16762474,0.440334844,0.313897318,taobao
1,0.75085,0.3516,0.15069813,0.487858878,0.257918691,ksmobile
0,0.75015,0.253,0.009578437,0.291427062,0.242534906,feidee
0,0.7497,0.731,0.1107513,0.45861078,0.23322591,yhd
0,0.74935,0.3764,0.14104754,0.408108524,0.305733278,meituan
1,0.7493,0.731,0.09294501,0.356127006,0.289371507,taobao
1,0.748,0.731,0.09062466,0.389894796,0.260597262,suning
0,0.7479,0.731,0.012490004,0.398654002,0.164113003,api
0,0.7475,0.731,0.105448306,0.374548984,0.288853814,kindlymall
1,0.7466,0.3764,0.13780043,0.365040258,0.332650301,alibaba
0,0.7458,0.3516,0.12166664,0.460879984,0.241736648,taobao
0,0.74575,0.1653,0.09295836,0.286935016,0.339150852,alimama
0,0.7453,0.731,0.22705543,0.344993258,0.449548801,jd
1,0.74425,0.731,0.13780043,0.352200258,0.340870301,taobao
1,0.7426,0.2566,0.11528507,0.383931042,0.290189549,jd
1,0.74215,0.3764,0.096420616,0.33905237,0.301884431,tbcdn
1,0.74135,0.731,0.165238,0.3942628,0.3391366,images-amazon
0,0.7412,0.731,0.10366273,0.399477638,0.264323911,alimama
0,0.74095,0.3516,0.00960198,0.390081188,0.163051386,meituan
0,0.74035,0.731,0.107417345,0.298650407,0.343752142,suning
1,0.73905,0.3516,0.107417345,0.309530407,0.334812142,360buyimg
1,0.73825,0.3764,0.010636747,0.382582048,0.168245723,alimama
1,0.7363,0.2566,0.107417345,0.414650407,0.254322142,meituan
1,0.7353,0.3764,0.19301265,0.51516759,0.276768855,taobaocdn
1,0.73225,0.3764,0.15194824,0.402928944,0.311893768,taobao
1,0.731,0.3764,0.13530964,0.401705784,0.292926748,tbcdn
1,0.7291,0.3764,0.24562806,0.537176836,0.317049642,tbcdn
1,0.72705,0.731,0.15678856,0.288673136,0.400031992,mi
1,0.7259,0.731,0.11069456,0.260336736,0.367586192,taobao
1,0.72425,0.731,0.010020793,0.396252476,0.148884555,meituan
1,0.72385,0.3764,0.15253034,0.330518204,0.361831238,jd
0,0.7225,0.3516,0.009697229,0.325258337,0.20070806,mi
1,0.72145,0.3764,0.15724036,0.446224216,0.279028252,yihaodianimg
1,0.72065,0.3516,0.009829491,0.377377695,0.160660644,jd
1,0.7206,0.3516,0.14808202,0.473529212,0.247507414,taobaocdn
0,0.72035,0.3764,0.14542425,0.46113455,0.253596975,taobao
0,0.7197,0.2566,0.005527705,0.188636623,0.296699394,meituan
0,0.7191,0.731,0.15115783,0.303614698,0.377580481,meituan
0,0.7178,0.731,0.13455254,0.396531524,0.288016778,meituan
1,0.71715,0.3516,0.18987325,0.33456395,0.397721275,jd
1,0.7158,0.731,0.22098312,0.372429872,0.404288184,alimama
1,0.7147,0.731,0.109090716,0.40201443,0.252763501,meituan
1,0.71455,0.3516,0.09488839,0.419213034,0.223441873,jd
0,0.714,0.731,0.09140393,0.236362358,0.356242751,gome
1,0.71395,0.3764,0.27085784,0.439874704,0.409950488,tbcdn
1,0.7136,0.731,0.14062658,0.341495948,0.333758606,taobao
0,0.7134,0.3516,0.19301265,0.36852759,0.373608855,alimama
0,0.7132,0.731,0.09244135,0.43974481,0.204418945,taobao
0,0.71235,0.2566,0.010922611,0.380713567,0.154435828,jd
1,0.71215,0.3516,0.46521318,0.535847908,0.560399226,taobao
1,0.71145,0.731,0.12309483,0.255456898,0.376836381,ksmobile
1,0.711,0.3516,0.09659019,0.340474114,0.282323133,meituan
0,0.71065,0.2566,0.47043473,0.597300838,0.519414311,meituan
1,0.71035,0.3764,0.16820434,0.444482604,0.286283038,tbcdn
0,0.70915,0.731,0.45796627,0.570939762,0.523946389,jd
1,0.7075,0.05,0.34439528,0.389437168,0.528476696,yihaodianimg
0,0.70395,0.731,0.18955526,0.380093156,0.355288682,taobao
1,0.7039,0.253,0.101321995,0.278633197,0.329885397,mi
0,0.70305,0.731,0.13231894,0.293111364,0.354163258,tbcdn
1,0.70275,0.253,0.09310064,0.397340384,0.230710448,tbcdn
1,0.70245,0.2566,0.23125339,0.333392034,0.437367373,taobao
0,0.7021,0.253,0.010191262,0.343474757,0.175373883,suning
1,0.6997,0.253,0.1733459,0.32156754,0.37799213,surex
1,0.6993,0.3516,0.005295664,0.341217398,0.169756965,taobao
1,0.69885,0.731,0.4734771,0.57304626,0.53402397,taobao
0,0.6986,0.3764,0.00739485,0.29715691,0.204796395,alimama
0,0.6983,0.253,0.010636747,0.318702048,0.192185723,meituan
0,0.6977,0.3516,0.14665759,0.409874554,0.279870313,jd
1,0.69665,0.3764,0.005352914,0.194531748,0.27824704,alibaba
1,0.69605,0.2566,0.008347005,0.311048203,0.193942904,meituan
1,0.6958,0.3516,0.009913951,0.378468371,0.145029766,taobao
1,0.6957,0.2566,0.15301067,0.457406402,0.250327469,tbcdn
1,0.6954,0.731,0.008348882,0.332769329,0.177264217,meituan
0,0.6948,0.731,0.23062578,0.313615468,0.446888046,taobao
1,0.6947,0.1653,0.15908915,0.49437349,0.228992405,meituan
